,orgn_feature,importance,importance(%)
18,tenure_months,0.1704059502002016,17.040595020020163
14,satisfaction_score,0.14778876942866848,14.77887694286685
19,total_watch_hours_1months,0.111651564251797,11.1651564251797
2,days_since_last_login,0.06366847209301307,6.366847209301309
6,monthly_fee,0.06303062643181989,6.303062643181991
21,weekly_login_days,0.049665052822479086,4.966505282247909
17,support_tickets_6m,0.04696403144252971,4.6964031442529715
0,age,0.046228119599823266,4.622811959982327
12,price_increase_recent,0.037956564401091915,3.7956564401091923
13,region,0.03475114151346391,3.4751141513463915
