,original_feature,importance,orginal_feature_2,importance_mean,importance_std
0,tenure_months,0.1704059502002016,tenure_months,0.037916813424428056,0.010044938160666204
1,satisfaction_score,0.14778876942866848,satisfaction_score,0.03309342280084595,0.008028783926921282
2,total_watch_hours_1months,0.111651564251797,total_watch_hours_1months,0.01611211208278195,0.00700680400113135
3,days_since_last_login,0.06366847209301307,support_tickets_6m,0.010413277421084634,0.004719068142543193
4,monthly_fee,0.06303062643181989,payment_failures_3m,0.00883214096171806,0.00398432284882709
5,weekly_login_days,0.049665052822479086,payment_method,0.008210113970278118,0.002687351163475973
6,support_tickets_6m,0.04696403144252971,price_increase_recent,0.006850875971329107,0.0038432831004214566
7,age,0.046228119599823266,multi_service_user,0.006611690634661891,0.003239535126872093
8,price_increase_recent,0.037956564401091915,days_since_last_login,0.006329108135658098,0.004668643170445624
9,region,0.03475114151346391,region,0.005806722088434005,0.0033679130115956955
