age,income,loan_amount,credit_score,late_payments,debt_ratio,employment_years,married,default
60,318.0,1522.0,635.0,0,38.1,24,1,0
50,372.0,1537.0,641.0,2,51.8,5,1,0
36,450.0,2137.0,634.0,2,49.1,24,1,0
29,412.0,1961.0,723.0,1,31.1,2,0,0
42,402.0,1244.0,657.0,2,55.8,25,1,0
60,353.0,2205.0,777.0,0,45.5,12,0,0
40,372.0,1753.0,664.0,5,37.3,18,1,0
44,468.0,2224.0,765.0,1,29.4,9,0,0
32,159.0,1474.0,695.0,1,35.4,12,0,0
32,379.0,1511.0,698.0,0,16.8,6,0,0
45,412.0,2006.0,632.0,1,41.4,14,1,0
57,466.0,1439.0,585.0,2,22.8,22,1,0
45,269.0,1785.0,675.0,2,40.9,3,0,0
24,263.0,1392.0,798.0,1,31.2,10,0,0
43,444.0,1736.0,648.0,0,37.3,7,0,0
23,171.0,1887.0,637.0,0,29.8,1,1,0
45,527.0,1906.0,668.0,1,28.8,0,0,0
51,405.0,1747.0,804.0,1,43.3,0,1,0
59,551.0,2040.0,735.0,3,29.7,15,0,0
23,260.0,1962.0,765.0,0,27.0,17,0,0
42,332.0,1862.0,541.0,1,25.5,10,1,0
54,120.0,1637.0,622.0,0,44.5,21,0,0
33,292.0,2349.0,625.0,2,24.8,7,1,0
43,360.0,2062.0,760.0,0,36.1,18,1,0
46,164.0,1465.0,726.0,3,58.1,11,1,0
48,337.0,2173.0,754.0,2,29.1,5,1,0
49,161.0,2268.0,549.0,1,28.2,23,1,0
37,352.0,1866.0,758.0,0,46.9,24,1,0
36,506.0,1894.0,726.0,0,24.1,15,1,0
24,376.0,1035.0,615.0,1,46.9,7,1,0
58,562.0,1546.0,666.0,1,32.2,6,0,0
28,466.0,2254.0,617.0,1,45.0,19,1,0
42,528.0,1571.0,673.0,1,40.4,2,1,0
30,296.0,1833.0,711.0,3,41.7,22,1,0
60,293.0,1539.0,778.0,0,31.6,0,0,0
39,418.0,1997.0,614.0,3,32.1,22,1,0
25,206.0,2065.0,647.0,1,30.8,5,0,1
46,432.0,2077.0,603.0,1,49.3,2,1,0
35,344.0,1421.0,734.0,2,36.1,18,1,0
30,526.0,1945.0,570.0,1,55.5,1,1,0
47,455.0,2562.0,692.0,0,38.3,16,1,0
23,501.0,2214.0,594.0,0,34.2,15,1,0
41,297.0,1939.0,683.0,1,33.8,20,1,0
49,495.0,1089.0,761.0,1,29.0,6,0,0
28,539.0,1795.0,644.0,1,38.2,22,1,0
29,376.0,2591.0,695.0,3,35.1,5,0,0
56,299.0,2454.0,617.0,1,29.9,10,0,0
35,301.0,2094.0,672.0,2,35.4,14,0,0
38,516.0,1598.0,571.0,0,31.0,25,1,0
57,675.0,1922.0,730.0,2,38.9,21,1,0
25,272.0,2225.0,651.0,0,43.2,10,1,0
23,264.0,2295.0,665.0,1,29.7,6,0,0
27,481.0,2031.0,685.0,2,31.4,14,0,0
25,297.0,2259.0,542.0,2,27.0,15,1,0
50,492.0,1875.0,632.0,1,47.3,7,1,0
39,431.0,1857.0,689.0,1,18.3,4,1,0
47,377.0,1707.0,669.0,3,29.4,16,0,0
55,429.0,2078.0,832.0,1,43.1,22,1,0
31,422.0,2320.0,768.0,1,29.7,1,0,0
57,360.0,2198.0,690.0,2,29.3,20,0,0
35,187.0,1388.0,608.0,1,42.7,6,0,0
52,400.0,1411.0,645.0,1,13.3,22,1,0
36,553.0,2364.0,726.0,0,36.3,24,1,0
29,203.0,1974.0,685.0,0,30.5,20,1,0
35,274.0,1991.0,769.0,1,30.7,5,0,0
44,427.0,1981.0,685.0,0,46.7,25,1,0
42,384.0,2636.0,688.0,0,35.8,11,0,0
37,425.0,1713.0,794.0,0,24.5,15,0,0
39,303.0,2369.0,603.0,0,21.2,10,0,0
45,508.0,1998.0,801.0,2,35.4,21,0,0
47,385.0,1228.0,734.0,0,22.2,16,1,0
46,457.0,1554.0,900.0,1,48.1,9,1,0
50,415.0,1645.0,631.0,1,25.0,22,1,0
36,399.0,2359.0,794.0,0,35.9,15,0,0
22,449.0,2415.0,689.0,0,16.5,15,0,0
46,401.0,2049.0,667.0,0,17.0,14,1,0
28,249.0,1680.0,701.0,1,33.9,25,1,0
30,500.0,1517.0,689.0,2,68.0,14,0,0
45,470.0,2378.0,625.0,0,30.4,22,1,0
22,148.0,1360.0,671.0,0,42.9,19,1,0
29,308.0,1856.0,701.0,1,31.1,3,1,0
45,495.0,2893.0,650.0,2,46.2,21,0,0
32,179.0,1682.0,718.0,0,35.1,2,0,0
38,484.0,1366.0,659.0,2,23.5,13,0,0
29,364.0,1159.0,712.0,0,33.5,9,0,0
56,527.0,2910.0,704.0,4,18.2,5,1,0
56,380.0,2046.0,712.0,0,27.1,10,0,0
54,301.0,1535.0,586.0,2,39.8,3,1,0
26,414.0,1821.0,757.0,2,29.5,9,1,0
60,377.0,1622.0,619.0,0,31.6,15,1,0
49,291.0,1117.0,667.0,3,45.4,23,1,0
28,624.0,2231.0,635.0,0,31.0,20,0,0
30,273.0,1914.0,685.0,2,41.1,7,0,0
29,133.0,2196.0,672.0,2,30.0,8,0,0
33,554.0,1903.0,726.0,0,45.2,3,0,0
55,316.0,1955.0,683.0,0,49.1,16,1,0
54,347.0,961.0,653.0,1,16.3,9,1,0
44,341.0,2281.0,554.0,1,26.2,22,0,0
45,317.0,1443.0,742.0,1,33.6,12,1,0
58,296.0,1551.0,716.0,2,29.2,22,1,0
56,270.0,1678.0,745.0,3,44.6,20,0,0
43,387.0,1035.0,667.0,3,38.2,20,1,0
48,336.0,1655.0,705.0,0,26.5,16,1,0
56,460.0,1626.0,634.0,1,50.2,18,1,0
22,433.0,1741.0,628.0,3,50.0,16,1,1
56,278.0,1186.0,660.0,0,22.7,22,0,0
58,392.0,2290.0,745.0,2,29.9,20,0,0
35,334.0,2067.0,661.0,2,44.3,3,1,0
24,271.0,1537.0,676.0,1,45.3,22,0,0
22,456.0,1656.0,697.0,0,50.0,24,0,0
26,367.0,2252.0,682.0,2,60.7,5,1,0
47,335.0,1792.0,751.0,1,40.2,13,0,0
35,286.0,1379.0,628.0,1,48.8,8,1,0
60,267.0,1865.0,687.0,0,62.7,5,0,0
48,599.0,1443.0,713.0,2,35.9,9,0,0
30,417.0,1603.0,565.0,4,28.2,24,1,0
36,260.0,1879.0,699.0,2,38.5,5,0,0
36,412.0,2343.0,774.0,2,51.9,8,0,0
47,497.0,2750.0,655.0,1,54.1,12,1,0
34,398.0,2472.0,604.0,0,37.5,15,1,0
53,531.0,1870.0,713.0,2,34.3,15,1,0
60,210.0,2848.0,693.0,0,23.3,18,1,0
53,161.0,2134.0,787.0,1,36.8,4,1,0
25,409.0,1489.0,711.0,3,24.2,10,1,0
51,410.0,1940.0,614.0,2,26.3,20,1,0
58,120.0,1624.0,611.0,0,38.4,14,1,0
44,311.0,1376.0,740.0,2,23.2,25,0,0
60,269.0,1407.0,705.0,0,39.6,7,0,0
36,227.0,1838.0,676.0,1,45.5,14,0,0
50,269.0,2217.0,692.0,1,25.5,10,1,0
57,446.0,2349.0,711.0,3,30.1,12,0,0
34,268.0,1377.0,706.0,0,21.5,22,0,0
53,272.0,1773.0,575.0,1,41.9,1,0,1
28,202.0,2104.0,765.0,2,21.1,1,0,0
43,520.0,1964.0,770.0,0,43.0,22,0,0
49,428.0,2192.0,807.0,0,38.9,25,1,0
23,120.0,1717.0,791.0,0,57.6,11,1,0
27,272.0,2435.0,780.0,0,52.7,25,1,0
49,438.0,1898.0,660.0,1,24.1,19,1,0
49,521.0,2218.0,701.0,0,54.3,21,0,0
41,472.0,1740.0,762.0,0,30.7,8,1,0
51,341.0,1925.0,554.0,3,27.9,25,0,1
32,168.0,1230.0,665.0,2,30.9,19,0,0
49,476.0,1549.0,561.0,0,33.1,14,1,0
46,347.0,1813.0,700.0,1,57.6,6,1,0
60,388.0,1942.0,769.0,0,7.8,24,1,0
54,360.0,3026.0,681.0,1,54.5,13,0,0
22,231.0,1740.0,640.0,1,44.3,16,0,0
48,420.0,1322.0,700.0,3,37.7,25,0,0
34,405.0,2615.0,709.0,2,30.0,1,1,0
24,333.0,2353.0,714.0,3,35.1,8,1,0
60,432.0,1414.0,595.0,3,44.5,12,1,0
27,229.0,2095.0,697.0,4,45.6,4,1,1
29,350.0,2251.0,693.0,1,27.7,3,0,0
48,383.0,1969.0,746.0,4,43.7,22,1,0
30,189.0,2037.0,675.0,1,30.1,20,1,0
58,374.0,1634.0,818.0,1,34.2,0,1,0
54,461.0,2112.0,686.0,3,49.1,8,1,0
45,347.0,1694.0,647.0,3,43.9,23,0,0
36,376.0,789.0,610.0,0,19.8,15,1,0
53,442.0,1982.0,644.0,1,37.3,18,1,0
53,337.0,1196.0,624.0,3,40.2,25,0,0
45,347.0,2326.0,669.0,1,37.5,2,1,0
33,251.0,1425.0,798.0,1,10.8,2,0,0
60,378.0,870.0,578.0,2,22.5,6,0,0
23,343.0,1157.0,583.0,1,18.3,17,0,0
24,435.0,1883.0,664.0,4,29.7,24,1,0
58,442.0,1978.0,585.0,1,37.4,19,0,0
38,467.0,1307.0,611.0,2,30.8,6,0,0
23,324.0,1450.0,704.0,0,29.8,23,1,0
23,141.0,1897.0,676.0,2,18.6,15,0,0
49,462.0,2308.0,711.0,1,23.5,20,1,0
44,427.0,1392.0,721.0,3,26.4,23,0,0
58,310.0,2059.0,774.0,0,44.8,3,1,0
53,441.0,1170.0,707.0,1,40.3,12,0,0
54,221.0,2033.0,764.0,1,43.8,9,0,0
22,493.0,2217.0,687.0,1,40.6,1,1,0
40,343.0,2120.0,707.0,2,44.2,18,1,0
23,289.0,2318.0,706.0,0,22.3,13,1,0
47,312.0,2290.0,700.0,2,49.4,5,1,0
53,355.0,2676.0,694.0,0,46.5,25,1,0
27,379.0,1946.0,807.0,0,32.3,12,1,0
53,385.0,2677.0,729.0,2,45.7,21,1,0
25,333.0,1503.0,649.0,0,48.2,11,1,0
32,402.0,1814.0,844.0,2,35.5,11,1,0
38,381.0,1852.0,654.0,2,41.4,22,0,0
59,309.0,1462.0,680.0,1,30.8,11,1,0
45,292.0,909.0,622.0,1,49.2,10,1,0
26,447.0,2265.0,730.0,1,31.5,13,1,0
55,438.0,1509.0,798.0,6,39.1,3,1,0
27,386.0,1732.0,576.0,2,35.6,12,1,0
43,482.0,2566.0,661.0,0,30.2,7,1,0
32,164.0,2140.0,758.0,1,19.0,23,1,0
37,318.0,2631.0,606.0,1,44.9,22,1,0
54,253.0,1951.0,720.0,1,35.6,2,1,0
30,628.0,2133.0,589.0,1,54.3,13,1,1
