age,income,loan_amount,credit_score,late_payments,debt_ratio,employment_years,married,default
58,176.0,581.0,766.0,5,32.0,18.0,1,0
48,324.0,1727.0,556.0,3,58.5,21.0,0,1
34,306.0,3175.0,539.0,4,63.2,28.0,0,1
62,506.0,1149.0,728.0,2,41.7,0.0,0,0
27,258.0,2804.0,640.0,1,35.5,4.0,0,0
40,289.0,3051.0,589.0,3,,5.0,0,1
58,,2179.0,815.0,0,51.5,11.0,1,0
38,310.0,1134.0,574.0,1,43.0,27.0,0,0
42,544.0,,612.0,0,59.1,11.0,0,0
30,243.0,3294.0,621.0,2,57.9,20.0,1,1
30,334.0,3354.0,446.0,2,38.0,13.0,1,1
43,420.0,2356.0,677.0,2,45.0,6.0,0,0
55,486.0,1467.0,597.0,1,48.9,27.0,1,0
59,334.0,3504.0,735.0,1,42.3,19.0,0,0
43,150.0,2816.0,745.0,1,25.3,20.0,1,0
22,362.0,1516.0,689.0,1,30.7,19.0,0,0
41,542.0,2457.0,689.0,1,25.7,13.0,0,0
21,414.0,2423.0,683.0,0,47.9,15.0,1,0
43,408.0,1722.0,614.0,2,27.8,8.0,0,0
63,252.0,2461.0,621.0,3,44.3,1.0,0,1
49,240.0,3030.0,776.0,2,64.0,16.0,1,0
57,382.0,1978.0,729.0,4,59.1,30.0,0,1
21,209.0,3106.0,686.0,4,20.0,3.0,0,1
40,474.0,883.0,718.0,6,26.7,13.0,0,1
52,278.0,3864.0,665.0,0,32.7,13.0,0,0
31,377.0,2243.0,685.0,0,28.0,27.0,1,0
41,154.0,3005.0,718.0,2,22.2,14.0,0,1
63,333.0,2364.0,504.0,2,41.9,30.0,0,0
44,238.0,1582.0,742.0,3,50.5,27.0,0,0
46,101.0,2173.0,737.0,2,53.4,11.0,1,0
61,445.0,768.0,608.0,0,36.3,12.0,0,0
47,577.0,2716.0,770.0,1,38.7,21.0,0,0
35,516.0,2345.0,493.0,1,46.3,9.0,1,1
34,462.0,2056.0,698.0,6,,15.0,1,0
63,330.0,2765.0,673.0,3,51.7,28.0,1,0
22,477.0,2228.0,645.0,0,47.2,28.0,0,1
56,527.0,2655.0,672.0,2,37.5,29.0,1,0
26,396.0,2922.0,717.0,4,19.7,14.0,0,1
40,,1788.0,526.0,1,60.0,7.0,1,0
28,320.0,1573.0,750.0,2,33.8,3.0,1,0
58,584.0,908.0,637.0,0,46.3,0.0,0,0
37,371.0,2292.0,751.0,0,19.0,13.0,1,0
23,80.0,2539.0,721.0,2,41.9,8.0,0,1
44,204.0,1207.0,636.0,1,43.2,18.0,1,0
33,329.0,3265.0,664.0,2,43.8,5.0,1,1
28,504.0,1583.0,668.0,3,78.2,15.0,1,1
45,347.0,622.0,799.0,3,34.4,25.0,0,0
21,507.0,3321.0,579.0,3,51.8,29.0,1,0
39,317.0,720.0,635.0,1,48.3,23.0,0,0
47,144.0,2923.0,543.0,1,33.9,10.0,0,1
26,321.0,2741.0,680.0,1,51.7,20.0,1,1
63,421.0,2440.0,620.0,0,40.0,26.0,0,1
27,411.0,1808.0,630.0,5,52.5,22.0,1,1
54,229.0,2577.0,789.0,1,65.5,10.0,0,0
33,338.0,2986.0,,2,43.8,13.0,0,0
36,702.0,1461.0,657.0,0,38.6,10.0,1,0
55,232.0,2932.0,633.0,1,54.6,25.0,1,0
59,459.0,2898.0,,2,58.8,13.0,1,0
23,128.0,2420.0,892.0,1,31.4,24.0,0,0
21,484.0,1797.0,531.0,2,,0.0,0,0
25,273.0,2902.0,722.0,1,50.1,10.0,0,1
61,428.0,2581.0,864.0,0,40.4,29.0,1,0
23,225.0,1438.0,756.0,4,,23.0,0,0
48,415.0,1924.0,674.0,2,48.5,17.0,0,0
37,271.0,2814.0,576.0,3,50.1,16.0,0,1
45,294.0,2286.0,774.0,5,38.0,3.0,1,0
63,433.0,3014.0,745.0,4,42.7,21.0,1,0
53,328.0,1944.0,548.0,3,35.1,30.0,1,0
29,426.0,1450.0,644.0,2,28.9,13.0,1,0
55,357.0,3845.0,574.0,1,36.0,7.0,1,1
33,388.0,939.0,441.0,1,42.9,14.0,0,0
50,433.0,1825.0,572.0,1,24.3,15.0,1,0
34,338.0,2410.0,678.0,3,36.9,0.0,0,0
27,260.0,2940.0,716.0,4,43.1,0.0,1,1
33,316.0,2685.0,644.0,1,56.3,9.0,0,0
42,523.0,3933.0,780.0,3,38.2,1.0,0,1
59,394.0,2112.0,752.0,6,27.0,24.0,1,1
40,279.0,1545.0,660.0,1,39.5,11.0,1,0
35,428.0,2035.0,650.0,1,35.2,3.0,1,1
64,436.0,1960.0,701.0,2,48.6,22.0,0,0
37,442.0,2149.0,669.0,1,37.9,18.0,0,0
43,263.0,1463.0,556.0,4,9.5,26.0,0,0
45,298.0,2788.0,646.0,1,86.3,0.0,1,0
44,299.0,2478.0,723.0,1,43.7,0.0,0,0
64,337.0,1252.0,775.0,1,43.1,8.0,0,0
60,445.0,2926.0,747.0,3,23.5,29.0,1,0
48,416.0,1591.0,697.0,1,24.4,19.0,1,0
34,425.0,1313.0,787.0,2,40.9,12.0,1,0
64,542.0,2265.0,704.0,2,46.0,10.0,0,1
20,463.0,882.0,663.0,1,50.4,18.0,0,0
44,363.0,2642.0,788.0,1,44.8,20.0,1,0
26,238.0,300.0,728.0,1,27.8,16.0,1,0
28,294.0,1428.0,774.0,3,11.9,2.0,1,0
43,349.0,3381.0,575.0,0,40.8,19.0,1,0
20,479.0,1685.0,601.0,2,35.6,12.0,0,0
63,377.0,1816.0,605.0,3,26.8,27.0,1,0
27,301.0,3155.0,685.0,4,51.9,21.0,1,1
43,292.0,1605.0,816.0,5,23.1,24.0,0,0
30,372.0,2773.0,579.0,0,49.4,18.0,1,0
36,487.0,,742.0,2,25.1,30.0,1,0
27,571.0,2559.0,574.0,2,43.6,19.0,0,0
54,355.0,1116.0,839.0,1,,20.0,1,0
54,375.0,1747.0,542.0,0,37.9,30.0,0,0
52,234.0,4235.0,729.0,1,62.3,23.0,0,0
24,613.0,1832.0,740.0,3,65.0,8.0,1,0
61,212.0,4440.0,720.0,1,44.8,18.0,1,0
58,521.0,3482.0,600.0,1,48.5,18.0,0,1
60,336.0,2589.0,585.0,1,54.7,22.0,1,0
47,308.0,2423.0,772.0,2,48.5,24.0,0,1
26,247.0,1851.0,754.0,3,47.2,0.0,1,0
28,669.0,2133.0,753.0,1,35.7,16.0,0,0
27,407.0,1683.0,762.0,2,21.8,13.0,0,1
31,383.0,2152.0,547.0,1,25.3,11.0,1,0
53,486.0,1178.0,545.0,1,70.6,1.0,1,1
52,302.0,1138.0,616.0,1,45.9,21.0,0,0
42,380.0,3176.0,632.0,3,39.1,2.0,0,0
43,387.0,991.0,623.0,0,57.2,30.0,0,0
56,319.0,2865.0,692.0,0,33.0,,1,0
54,524.0,779.0,759.0,1,49.0,23.0,0,0
63,354.0,2672.0,646.0,0,42.9,4.0,1,0
59,194.0,2044.0,,1,47.5,2.0,1,0
41,344.0,3191.0,735.0,3,38.0,13.0,1,0
46,410.0,1951.0,647.0,2,30.4,23.0,1,0
54,273.0,693.0,679.0,3,32.1,23.0,0,0
20,282.0,2059.0,643.0,2,32.6,17.0,1,0
54,314.0,2320.0,697.0,2,42.0,4.0,1,0
56,527.0,2101.0,,2,23.3,2.0,0,0
33,322.0,2631.0,728.0,3,27.0,22.0,1,0
22,551.0,1777.0,667.0,0,43.6,1.0,0,0
20,306.0,1252.0,609.0,2,40.5,8.0,1,1
24,419.0,1450.0,712.0,1,44.3,17.0,0,0
45,326.0,,609.0,0,41.5,26.0,1,0
33,470.0,1807.0,612.0,1,72.2,1.0,1,0
58,246.0,4005.0,574.0,1,,21.0,0,0
46,469.0,3141.0,534.0,2,37.5,18.0,0,0
28,394.0,,713.0,3,43.2,2.0,0,1
34,303.0,2535.0,763.0,3,54.2,30.0,1,0
34,360.0,2425.0,634.0,3,41.4,25.0,1,0
45,564.0,2429.0,606.0,0,50.2,17.0,1,0
61,397.0,2322.0,525.0,1,46.8,13.0,1,0
32,296.0,2230.0,496.0,3,38.5,12.0,1,0
51,235.0,631.0,728.0,2,43.3,15.0,0,0
58,441.0,1923.0,512.0,0,61.2,20.0,0,1
51,404.0,2020.0,578.0,2,44.9,27.0,0,0
23,463.0,1638.0,693.0,2,30.2,10.0,0,0
