,original_feature,importance,orginal_feature_2,importance_mean,importance_std
0,tenure_months,0.1704059502002016,tenure_months,0.037916813424428056,0.010044938160666204
1,satisfaction_score,0.14778876942866848,satisfaction_score,0.03309342280084595,0.008028783926921282
2,total_watch_hours_1months,0.111651564251797,total_watch_hours_1months,0.01611211208278195,0.00700680400113135
3,days_since_last_login,0.06366847209301307,support_tickets_6m,0.010413277421084634,0.004719068142543193
4,monthly_fee,0.06303062643181989,payment_failures_3m,0.00883214096171806,0.00398432284882709
5,weekly_login_days,0.049665052822479086,payment_method,0.008210113970278118,0.002687351163475973
6,support_tickets_6m,0.04696403144252971,price_increase_recent,0.006850875971329107,0.0038432831004214566
7,age,0.046228119599823266,multi_service_user,0.006611690634661891,0.003239535126872093
8,price_increase_recent,0.037956564401091915,days_since_last_login,0.006329108135658098,0.004668643170445624
9,region,0.03475114151346391,region,0.005806722088434005,0.0033679130115956955
10,payment_failures_3m,0.032290972115874755,marketing_channel,0.004203243469981572,0.0038867210536669325
11,marketing_channel,0.027947782056854338,age,0.0035645212428724814,0.0026529505732919476
12,payment_method,0.025004397096686982,subscription_type,0.0032865630626375845,0.004693277521303306
13,num_devices_registered,0.02479301643346359,num_profiles,0.0021481621128330852,0.0024639523248591137
14,device_type,0.022725347648126178,satisfaction_score_na,0.001672386788828964,0.0013004294395460483
15,num_profiles,0.021376821392729537,num_devices_registered,0.0013856152659977056,0.0031810968506527267
16,subscription_type,0.01890603542014945,auto_renew,0.0013251650016487758,0.0030829365215318703
17,gender,0.015149318063265287,gender,0.0005127496408779963,0.0032328927889167503
18,multi_service_user,0.01463521317241515,used_discount,3.566531904371506e-05,0.001593956418013653
19,auto_renew,0.012529609922961536,weekly_login_days,-8.588975612541794e-05,0.0022647661389103412
20,used_discount,0.0090381450949909,device_type,-9.390275693450245e-05,0.003168012272562039
21,satisfaction_score_na,0.003493049397594416,monthly_fee,-0.0021781422066277064,0.003847140806525357
