customer_id,age,gender,region,device_type,subscription_type,payment_method,marketing_channel,tenure_months,monthly_fee,avg_watch_hours,weekly_login_days,num_devices_registered,num_profiles,support_tickets_6m,payment_failures_3m,days_since_last_login,used_discount,auto_renew,price_increase_recent,multi_service_user,satisfaction_score,churn
1,43,Male,Busan,Android,Standard,MobilePay,SNS,5,12734.0,27.3,1.2,2,4,1,2,1,0,1,0,0,3.0,1
2,36,Male,Busan,Android,Premium,BankTransfer,Ads,16,18855.0,8.8,3.5,4,3,0,2,1,0,0,0,1,4.1,1
3,45,Female,Daejeon,Android,Standard,MobilePay,Referral,30,13218.0,26.8,5.8,1,3,0,0,1,0,0,0,0,4.0,0
4,55,Female,Other,Web,Premium,CreditCard,Organic,18,17894.0,,4.8,2,3,3,0,20,0,1,1,0,1.4,0
5,35,Female,Daejeon,iOS,Standard,CreditCard,Ads,35,15163.0,15.5,2.7,5,4,1,2,0,0,0,0,0,2.4,0
6,35,Male,Other,iOS,Basic,CreditCard,Affiliate,22,9315.0,7.1,2.5,2,3,2,0,3,0,1,0,1,3.6,0
7,55,Male,Other,Web,Standard,CreditCard,SNS,17,12661.0,32.8,5.1,3,2,1,2,14,0,0,0,1,3.6,0
8,46,Male,Busan,Android,Basic,KakaoPay,Affiliate,24,8458.0,23.6,4.9,5,2,0,2,2,0,1,0,0,3.3,1
9,33,Male,Other,Android,Basic,MobilePay,Ads,44,9034.0,26.6,3.9,2,3,0,0,54,1,1,0,0,3.3,0
10,44,Female,Other,iOS,Standard,CreditCard,Organic,25,12921.0,15.7,5.1,3,1,0,1,29,1,0,1,1,3.9,0
11,33,Male,Daegu,Web,Basic,CreditCard,Ads,39,7972.0,19.0,1.2,3,3,1,0,0,0,1,1,0,4.2,0
12,33,Male,Daegu,Tablet,Basic,CreditCard,Referral,22,9078.0,26.3,4.7,4,3,0,0,33,0,0,1,0,2.9,0
13,41,Male,Other,Android,Basic,CreditCard,Organic,14,8957.0,25.5,0.8,5,2,0,1,3,1,1,0,0,3.2,0
14,18,Male,Other,Web,Premium,CreditCard,SNS,10,18734.0,11.2,6.4,5,1,1,0,9,0,0,0,1,3.9,0
15,19,Female,Busan,Web,Basic,CreditCard,Ads,34,10645.0,26.1,4.7,2,4,1,1,20,1,1,1,0,3.2,0
16,32,Male,Other,Android,Basic,BankTransfer,Affiliate,23,8969.0,18.6,4.8,3,5,1,1,2,1,0,1,1,5.0,0
17,27,Female,Other,iOS,Standard,BankTransfer,Ads,15,12124.0,17.5,4.4,5,3,0,0,28,0,1,0,1,3.9,0
18,41,Female,Seoul,Android,Basic,BankTransfer,Referral,15,,16.7,2.8,5,2,2,1,1,0,0,0,0,3.0,0
19,28,Male,Daejeon,iOS,Premium,MobilePay,Affiliate,7,16778.0,19.9,2.6,2,3,1,1,9,1,1,0,1,3.2,0
20,22,Male,Seoul,Web,Basic,CreditCard,Organic,25,,28.7,6.4,4,3,2,0,9,1,0,0,0,4.0,0
21,54,Female,Seoul,Web,Standard,CreditCard,Referral,29,13161.0,12.1,3.2,4,3,2,0,0,0,1,0,0,3.0,0
22,36,Female,Daegu,iOS,Basic,CreditCard,Affiliate,31,8138.0,4.9,3.7,2,2,0,0,26,0,0,0,1,3.5,0
23,39,Male,Other,Web,Basic,,Affiliate,22,8626.0,52.2,3.4,5,1,0,2,16,0,0,0,0,3.4,0
24,22,Male,Seoul,Android,Premium,,Ads,27,19693.0,,4.4,2,3,0,0,0,0,1,0,0,4.2,0
25,32,Male,Other,Android,Premium,KakaoPay,Affiliate,31,15055.0,42.2,3.6,2,4,2,1,0,0,1,1,0,3.5,0
26,39,Male,Daegu,Android,Standard,BankTransfer,Organic,23,13315.0,18.3,4.0,3,6,1,1,12,0,0,0,0,,1
27,25,Male,Other,Web,Standard,BankTransfer,Organic,42,14137.0,13.4,5.4,2,1,0,0,9,1,0,0,1,1.9,0
28,42,Male,Other,Web,Basic,KakaoPay,Organic,12,,8.7,2.7,1,2,1,0,7,0,1,1,1,4.6,0
29,31,Male,Other,iOS,Standard,BankTransfer,Ads,15,11355.0,10.0,4.5,6,2,0,1,1,1,1,1,1,2.6,1
30,35,Male,Other,Tablet,Standard,KakaoPay,Ads,31,10511.0,8.2,6.7,4,2,3,0,39,0,1,0,0,3.5,0
31,31,Male,Other,iOS,Basic,BankTransfer,Organic,6,,7.7,5.5,2,3,1,0,4,0,0,1,0,1.7,1
32,58,Female,Seoul,iOS,Standard,CreditCard,Ads,19,14097.0,43.6,2.1,2,1,1,1,41,0,1,0,0,1.5,1
33,38,Female,Busan,iOS,Basic,KakaoPay,Ads,36,8240.0,26.5,3.9,5,4,0,1,12,0,1,0,1,2.7,0
34,26,Female,Busan,Web,Standard,CreditCard,Referral,9,13452.0,12.8,5.0,4,1,1,0,16,1,0,1,0,4.0,0
35,47,Male,Daejeon,Android,Basic,MobilePay,Organic,20,9292.0,14.1,2.7,4,2,0,0,4,0,1,0,0,3.6,0
36,25,Female,Seoul,Android,Standard,,SNS,18,14658.0,7.0,6.3,1,2,0,0,8,0,1,0,1,2.9,0
37,40,Male,Seoul,Android,Basic,KakaoPay,Ads,25,10010.0,21.6,4.1,5,3,1,0,8,0,1,0,0,,0
38,18,Female,Other,Web,Standard,CreditCard,Referral,18,11923.0,5.9,6.8,3,4,1,0,37,0,1,1,0,3.2,0
39,23,Male,Daejeon,Tablet,Basic,CreditCard,Organic,19,8161.0,55.3,5.0,2,2,0,2,16,1,1,0,1,,0
40,40,Male,Other,Android,Basic,BankTransfer,Affiliate,24,7227.0,22.4,3.2,4,5,1,0,3,1,1,0,0,3.1,0
41,46,Female,Seoul,Web,Basic,BankTransfer,Ads,9,10539.0,30.9,3.8,2,1,1,0,9,0,0,0,1,4.4,0
42,40,Female,Incheon,iOS,Basic,MobilePay,Ads,18,8080.0,16.9,4.4,3,4,1,0,2,0,1,0,0,3.2,0
43,37,Female,Busan,iOS,Basic,MobilePay,SNS,13,43115.0,14.9,3.0,2,3,1,0,36,0,1,0,0,3.2,0
44,35,Male,Seoul,Web,Basic,CreditCard,SNS,34,8319.0,4.4,6.0,6,5,1,2,8,0,0,0,0,2.9,0
45,22,Male,Busan,iOS,Basic,CreditCard,Organic,13,10215.0,12.2,2.3,1,4,0,0,32,1,1,0,0,4.7,1
46,30,Male,Busan,iOS,Basic,BankTransfer,Referral,13,7872.0,24.3,2.8,8,1,0,1,8,0,0,0,1,4.1,0
47,33,Female,Seoul,Android,Premium,BankTransfer,Affiliate,28,21724.0,9.7,3.5,2,4,0,2,5,1,1,0,0,1.4,0
48,50,Female,Daegu,Android,Basic,KakaoPay,Organic,16,,28.3,5.6,2,2,1,1,11,0,0,0,0,2.1,0
49,42,Female,Incheon,iOS,Standard,BankTransfer,SNS,18,10876.0,4.4,6.6,5,3,1,0,10,0,1,0,0,4.7,0
50,19,Male,Seoul,Android,Standard,KakaoPay,Organic,10,12439.0,18.0,6.8,4,2,0,1,18,0,0,0,1,3.9,0
51,42,Female,Daejeon,iOS,Standard,CreditCard,SNS,19,16571.0,3.1,5.6,2,1,1,1,8,1,0,0,1,3.6,0
52,34,Male,Daejeon,iOS,Basic,KakaoPay,Referral,19,6714.0,30.7,3.4,4,1,3,0,8,0,1,0,1,2.1,0
53,31,Male,Other,iOS,Basic,CreditCard,Ads,18,9475.0,17.6,1.4,1,1,1,0,36,0,1,0,1,1.7,0
54,45,Female,Incheon,iOS,Standard,MobilePay,Affiliate,26,13419.0,4.6,5.7,5,2,0,2,5,0,1,1,0,3.8,0
55,49,Female,Other,Tablet,Standard,BankTransfer,Referral,12,13532.0,7.3,6.4,1,4,0,1,23,0,1,0,0,3.8,0
56,48,Male,Other,Android,Basic,KakaoPay,Affiliate,38,11140.0,7.0,3.4,4,3,0,1,13,0,1,1,0,3.2,0
57,29,Male,Daegu,iOS,Standard,CreditCard,SNS,40,12621.0,13.7,6.9,4,2,2,0,5,1,1,0,0,3.7,0
58,35,Male,Incheon,Web,Basic,MobilePay,Ads,42,9522.0,22.0,4.1,6,3,0,0,0,0,0,1,0,3.4,1
59,42,Male,Seoul,Android,Standard,MobilePay,Ads,7,13517.0,26.6,3.5,3,2,0,0,3,0,1,0,1,2.8,0
60,49,Male,Daejeon,Android,Standard,MobilePay,SNS,23,12714.0,6.5,4.3,4,4,0,0,17,1,1,0,1,3.1,0
61,33,Male,Daegu,iOS,Basic,BankTransfer,Affiliate,19,8233.0,10.1,3.0,2,3,1,0,6,0,1,1,0,,0
62,36,Male,Other,iOS,Standard,MobilePay,Organic,30,13967.0,4.2,1.9,2,3,0,0,5,0,1,1,1,3.3,0
63,26,Female,Daegu,Android,Standard,CreditCard,Referral,34,12949.0,22.8,2.3,1,2,0,2,1,0,0,0,0,3.4,0
64,25,Female,Other,Android,Standard,CreditCard,SNS,29,12973.0,23.6,4.7,5,2,1,0,3,0,1,1,1,3.4,0
65,47,Female,Other,iOS,Premium,CreditCard,Referral,7,17205.0,33.2,2.8,2,1,1,0,7,1,1,0,0,4.5,0
66,53,Female,Other,iOS,Standard,MobilePay,Referral,26,12541.0,18.6,6.7,4,4,1,0,0,0,0,1,0,3.5,0
67,37,Female,Busan,iOS,Standard,CreditCard,Organic,23,14244.0,25.0,4.6,4,1,0,0,14,1,0,0,0,2.4,0
68,49,Male,Seoul,Web,Standard,CreditCard,SNS,33,12683.0,4.8,3.6,7,2,1,0,8,0,1,0,1,2.0,0
69,42,Male,Other,iOS,Basic,KakaoPay,Referral,26,9616.0,20.2,2.1,2,2,0,0,4,0,0,0,1,4.9,0
70,31,Female,Other,iOS,Standard,,Organic,40,14704.0,15.0,2.6,3,3,0,1,6,1,0,1,0,5.0,0
71,42,Female,Seoul,iOS,Basic,MobilePay,SNS,29,9704.0,11.9,4.6,3,6,1,1,17,1,0,0,0,3.8,1
72,55,Female,Other,iOS,Standard,BankTransfer,Ads,29,15241.0,2.3,5.3,3,2,0,0,3,0,1,1,0,4.4,0
73,38,Female,Daegu,Web,Basic,MobilePay,Organic,6,10185.0,25.8,0.6,5,3,1,0,14,1,1,1,0,5.0,0
74,55,Male,Seoul,iOS,Basic,BankTransfer,Organic,11,10062.0,,1.5,3,3,0,0,40,0,1,0,0,3.8,0
75,18,Male,Daegu,iOS,Standard,CreditCard,SNS,19,13106.0,6.9,4.6,3,3,0,0,26,0,0,0,0,,0
76,47,Male,Other,Android,Basic,BankTransfer,Ads,18,6452.0,18.3,4.0,3,5,2,0,23,0,1,0,1,,0
77,39,Male,Daegu,Web,Basic,BankTransfer,Ads,11,7448.0,6.1,5.2,1,2,2,0,18,1,1,0,0,,0
78,35,Male,Other,iOS,Premium,CreditCard,Ads,38,18670.0,7.6,3.6,2,2,1,1,20,1,1,0,0,2.8,0
79,39,Male,Seoul,iOS,Basic,CreditCard,Referral,28,9544.0,25.9,4.9,6,3,1,1,28,1,1,0,0,4.3,0
80,18,Male,Daejeon,iOS,Standard,KakaoPay,Ads,12,14971.0,13.3,5.0,5,1,1,0,9,0,1,1,0,4.5,0
81,36,Male,Other,Android,Standard,MobilePay,Ads,8,12518.0,9.2,4.9,5,3,1,0,13,0,1,0,0,,0
82,42,Male,Incheon,Android,Basic,KakaoPay,Affiliate,22,9831.0,34.2,5.8,2,1,3,0,11,0,1,0,1,2.3,0
83,54,Male,Busan,Android,Standard,MobilePay,Ads,29,13552.0,25.8,5.0,3,4,1,0,11,0,1,1,1,2.9,0
84,32,Male,Gwangju,Android,Standard,BankTransfer,Affiliate,31,13776.0,10.6,1.4,2,2,3,0,1,0,1,0,0,,0
85,29,Male,Other,Android,Basic,CreditCard,SNS,27,9713.0,19.3,6.0,4,2,2,0,56,1,1,1,0,4.4,0
86,32,Female,Seoul,Android,Basic,CreditCard,SNS,40,10086.0,21.5,7.0,3,4,2,0,17,1,0,1,0,2.8,0
87,48,Female,Incheon,Android,Basic,CreditCard,Ads,10,8192.0,20.5,3.4,2,4,1,0,15,0,1,1,1,3.4,0
88,42,Male,Seoul,iOS,Premium,CreditCard,Organic,22,18373.0,18.0,2.9,2,4,2,0,32,1,1,1,0,4.2,0
89,32,Male,Incheon,Web,Basic,BankTransfer,Organic,27,,11.2,3.5,1,3,2,0,4,0,1,0,0,5.0,0
90,44,Female,Daegu,Android,Basic,KakaoPay,Affiliate,6,6878.0,23.5,3.3,4,1,0,0,16,0,1,0,1,3.8,0
91,39,Female,Other,iOS,Basic,KakaoPay,Organic,12,10706.0,14.7,3.8,3,6,4,0,6,0,1,0,0,3.6,1
92,49,Female,Incheon,iOS,Premium,MobilePay,Organic,23,18031.0,33.4,4.8,6,2,0,0,12,0,0,0,0,4.6,0
93,30,Male,Daegu,Android,Standard,BankTransfer,Referral,36,13967.0,13.9,6.2,2,3,0,0,7,1,0,1,1,3.2,0
94,34,Female,Other,Android,Premium,CreditCard,SNS,9,20822.0,27.4,1.8,4,1,1,1,33,0,0,0,1,3.9,0
95,34,Female,Busan,Android,Premium,KakaoPay,Organic,13,22365.0,19.6,4.1,4,2,0,0,45,1,0,0,0,5.0,0
96,22,Female,Gwangju,Web,Premium,MobilePay,Organic,15,18788.0,25.2,4.4,2,2,3,0,18,0,1,1,1,3.5,0
97,41,Male,Other,Web,Standard,BankTransfer,SNS,20,16362.0,3.4,2.8,5,3,1,0,5,1,1,0,0,4.8,0
98,41,Female,Busan,Android,Standard,CreditCard,Ads,22,11674.0,6.7,5.3,2,1,3,0,5,0,1,0,0,1.9,0
99,38,Female,Seoul,iOS,Premium,MobilePay,Ads,28,16619.0,18.8,3.8,4,3,0,0,20,0,1,0,1,3.4,0
100,35,Female,Daegu,iOS,Basic,CreditCard,SNS,41,,9.5,7.0,2,2,1,2,11,0,0,0,1,3.2,0
101,22,Male,Busan,Android,Basic,KakaoPay,Organic,8,,3.5,5.7,4,4,0,0,9,0,1,0,1,3.2,0
102,33,Female,Busan,Web,Basic,CreditCard,Referral,15,8239.0,4.5,2.1,2,4,0,0,10,1,0,0,0,4.3,0
103,34,Male,Other,Android,Standard,CreditCard,SNS,26,12558.0,12.4,1.7,1,3,1,0,0,0,0,1,0,3.9,0
104,29,Male,Daegu,iOS,Basic,,Affiliate,25,9607.0,25.7,7.0,3,5,1,0,3,0,1,0,0,3.7,0
105,36,Female,Other,iOS,Standard,CreditCard,Ads,24,13766.0,30.8,4.9,2,3,0,0,5,1,0,0,1,4.2,0
106,42,Male,Seoul,iOS,Standard,CreditCard,Affiliate,41,13163.0,15.8,6.0,3,3,0,1,0,1,1,0,0,2.6,0
107,59,Female,Other,iOS,Basic,MobilePay,Organic,16,9828.0,4.6,7.0,5,4,2,0,12,0,1,1,1,4.0,1
108,40,Female,Other,iOS,Basic,CreditCard,Organic,35,8716.0,28.4,3.1,2,4,2,0,27,0,1,0,0,1.9,0
109,41,Male,Other,Android,Basic,BankTransfer,Affiliate,37,11095.0,16.3,5.1,2,4,3,0,3,1,1,0,0,1.7,0
110,37,Female,Incheon,Android,Basic,BankTransfer,Organic,21,9077.0,33.3,4.9,1,2,1,1,27,0,0,0,1,3.7,1
111,18,Female,Incheon,Web,Standard,CreditCard,Organic,60,15687.0,27.9,3.0,5,2,0,0,0,0,0,0,0,4.1,0
112,38,Male,Daegu,Web,Standard,CreditCard,Organic,19,13904.0,10.6,3.0,5,4,5,1,3,0,1,0,0,,1
113,39,Female,Other,Web,Premium,CreditCard,Organic,21,19967.0,18.0,5.2,2,2,1,1,10,0,1,1,0,5.0,0
114,65,Male,Other,iOS,Basic,CreditCard,Ads,48,,29.2,2.1,5,3,0,1,8,0,1,0,0,,0
115,36,Male,Seoul,iOS,Standard,CreditCard,Organic,32,12658.0,19.9,3.4,3,2,1,1,8,0,0,0,1,5.0,0
116,41,Male,Other,iOS,Standard,CreditCard,SNS,31,13826.0,24.0,5.0,2,3,2,0,0,0,1,0,1,3.8,0
117,38,Male,Other,Android,Standard,CreditCard,Affiliate,18,12663.0,25.1,4.4,6,3,1,0,9,1,0,0,0,3.6,0
118,25,Male,Daegu,iOS,Basic,CreditCard,Organic,27,,38.1,6.0,4,2,0,0,0,0,1,0,0,3.5,0
119,51,Female,Seoul,Web,Standard,MobilePay,Ads,20,11065.0,8.8,4.4,2,2,2,0,16,1,0,0,0,2.5,1
120,46,Female,Other,Web,Basic,CreditCard,SNS,24,8222.0,8.6,5.1,3,3,0,0,16,1,1,1,1,3.3,1
121,47,Female,Daegu,iOS,Basic,BankTransfer,SNS,3,7237.0,18.1,3.2,2,3,1,0,1,1,1,0,0,2.3,1
122,28,Male,Other,Android,Basic,MobilePay,Organic,36,8955.0,3.6,4.4,3,2,1,1,39,0,1,1,1,3.7,0
123,53,Female,Other,Web,Standard,KakaoPay,Affiliate,16,14692.0,20.3,5.2,4,6,1,1,4,0,0,0,1,2.9,0
124,23,Male,Seoul,Web,Basic,BankTransfer,Organic,38,,13.9,4.0,1,3,1,0,55,1,0,0,0,3.3,0
125,44,Male,Gwangju,Web,Premium,MobilePay,Organic,9,21546.0,17.3,1.4,1,3,1,0,0,0,1,0,0,2.5,0
126,62,Male,Incheon,iOS,Premium,BankTransfer,Organic,31,20509.0,13.6,6.2,2,2,1,1,13,0,1,0,0,3.2,0
127,27,Male,Other,Web,Standard,BankTransfer,Referral,12,13989.0,2.6,6.8,4,2,2,0,11,1,0,0,0,2.8,0
128,32,Male,Busan,Android,Basic,BankTransfer,Ads,23,,11.5,2.0,1,3,3,0,14,0,0,0,1,3.4,1
129,39,Female,Seoul,iOS,Standard,MobilePay,Organic,24,16444.0,17.0,6.4,3,2,1,0,7,0,1,0,0,4.8,0
130,32,Female,Other,Android,Basic,BankTransfer,Ads,14,9873.0,14.2,6.3,5,2,2,0,7,0,0,1,1,,0
